EUR,JPY,GBP,CHF,AUD,NZD,CAD,NOK,SEK,PLN,CZK,HUF,TRY,ILS,ZAR,MXN,BRL,KRW,IDR,SGD
0.934317481,130.2931596,0.597621467,1.490090896,1.490757305,1.776830135,1.416430595,7.56429652,7.921419518,3.435,34.0599455,211.16,0.239500307,3.605032626,4.97611465,8.52514919,1.13481616,13.75137514,8.750437522,1.607458608
0.93300989,128.915818,0.59672992,1.493651979,1.494544911,1.7809439,1.410835214,7.552870091,7.929585283,3.4365,33.90979993,211.4,0.239520958,3.57206644,4.970673029,8.52514919,1.135331517,13.85041551,8.3500334,1.605394124
0.931185399,128.4026708,0.592592593,1.487652484,1.477978126,1.771479185,1.412229911,7.524454477,7.873395796,3.4365,34.6981263,211.08,0.239980802,3.567097096,4.973145017,8.532423208,1.135589371,13.90047262,8.550662676,1.59642401
0.933794005,130.2422506,0.594282998,1.498127341,1.488316714,1.781261133,1.416631251,7.535795026,7.869058861,3.4305,33.70407819,210.9,0.241312741,3.585000359,4.975124378,8.547008547,1.135976372,13.77031121,8.52514919,1.588562351
0.942063118,131.9783555,0.596231815,1.522997259,1.508068165,1.808318264,1.421262081,7.598784195,7.964319847,3.4195,33.6813742,212.04,0.242072137,3.590019745,5.024620641,8.517887564,1.136105431,13.83125864,8.700191404,1.59642401
0.944376239,133.0671989,0.597907324,1.52230172,1.509661836,1.811266075,1.419647927,7.62195122,8.008328662,3.4305,33.76097232,212.98,0.242718447,3.595053207,5.034739704,8.517887564,1.137009665,13.83508578,8.550662676,1.613684041
0.944465433,133.6362421,0.59970015,1.532801962,1.519064256,1.822157434,1.418238548,7.674597084,8.033419023,3.4447,34.1997264,213.38,0.24348673,3.605032626,5.049739938,8.503401361,1.137138958,13.90627173,8.62515094,1.622586403
0.944287063,133.74348,0.600744924,1.533036946,1.52578578,1.822489521,1.420252805,7.668711656,8.035355564,3.4515,34.34065934,213.53,0.24348673,3.611020836,5.039052658,8.517887564,1.137138958,14.13028119,8.550662676,1.628399284
0.943752359,135.1533991,0.60284543,1.526484506,1.524390244,1.813236627,1.419446416,7.662835249,8.002560819,3.4545,34.72222222,214.05,0.248262165,3.631082062,5.038544868,8.52514919,1.138044839,14.46131598,8.550662676,1.62999185
0.941353667,134.6982759,0.599952004,1.527183873,1.523693433,1.822489521,1.419043565,7.656967841,8.003841844,3.4565,34.47087211,213.09,0.24600246,3.665017409,5.052546483,8.52514919,1.138433515,14.69075951,8.500510031,1.618122977
0.939319932,133.4400854,0.599772087,1.524622656,1.522533496,1.826484018,1.422475107,7.639419404,7.985944737,3.4548,34.32887058,212.92,0.24600246,3.681071928,5.048720149,8.510638298,1.138433515,14.34102969,8.500510031,1.605909748
0.931966449,131.1991603,0.597371565,1.507840772,1.509889778,1.81587071,1.424298533,7.530120482,7.856693903,3.4495,34.30531732,212.68,0.24600246,3.67606514,5.041084841,8.510638298,1.139341461,14.10039481,8.550662676,1.595405233
0.928591327,131.4751512,0.598838254,1.5167602,1.529519731,1.814223512,1.425923285,7.56429652,7.880841674,3.4377,34.16467373,212.15,0.24600246,3.67606514,5.03956055,8.510638298,1.138952164,13.88117712,8.100445525,1.591596371
0.921828909,129.5001295,0.593366166,1.492760113,1.5417823,1.818843216,1.43328078,7.48502994,7.766990291,3.419,34.07155026,210.42,0.245459008,3.727032164,5.033725964,8.467400508,1.13999088,13.99188471,7.650524061,1.594896332
0.918357976,130.3441084,0.593647967,1.496110114,1.539408867,1.811594203,1.438021283,7.507507508,7.760360081,3.417,33.69272237,210.63,0.245459008,3.725088471,5.035246727,8.467400508,1.140250855,13.96648045,7.850525985,1.596933887
0.923616884,131.7696666,0.59119125,1.503533303,1.528350909,1.790830946,1.43328078,7.473841555,7.731560229,3.4045,33.54579,211.13,0.246305419,3.719131211,5.043627377,8.488964346,1.140510949,13.91014049,7.925186242,1.603592046
0.923787529,131.7870322,0.594530321,1.499475184,1.537751807,1.796945193,1.428979708,7.507507508,7.765180929,3.4065,33.4001336,210.64,0.245821042,3.720099699,5.036514732,8.474576271,1.141031492,13.84083045,8.150623523,1.598721023
0.921234454,132.1178491,0.596125186,1.497678598,1.546551191,1.80342651,1.427755568,7.462686567,7.698229407,3.3935,33.67003367,210.87,0.247586036,3.730090641,5.05203597,8.467400508,1.141422212,13.82552191,8.050233457,1.601537476
0.915080527,131.302521,0.59747864,1.481920569,1.534919417,1.79018976,1.431844215,7.429420505,7.662835249,3.3915,33.48961822,209.94,0.24691358,3.747002398,5.045663252,8.460236887,1.141161703,13.76083666,7.810059356,1.591089897
0.915667063,130.4971943,0.597800096,1.486546752,1.533036946,1.785395465,1.431229426,7.446016381,7.667535654,3.3905,33.45600535,209.91,0.246730817,3.752063635,5.046681807,8.445945946,1.142334933,13.74003847,7.915149596,1.583531275
0.919033177,129.8532658,0.599880024,1.489203276,1.527183873,1.781261133,1.435956347,7.479431563,7.723797019,3.3993,33.26679973,210.38,0.247586036,3.731064846,5.059704513,8.467400508,1.142334933,13.68176221,7.950389569,1.590077914
0.917094644,131.302521,0.600204069,1.49142431,1.535155051,1.785076758,1.43472023,7.44047619,7.682261658,3.41,33.15649867,210.71,0.24789291,3.742094825,5.051525561,8.481764207,1.143249114,13.64070386,7.950389569,1.591089897
0.914494742,132.1702353,0.597228858,1.486546752,1.544401544,1.806032147,1.438848921,7.451564829,7.717835919,3.3892,32.99241175,210.25,0.248508946,3.7000037,5.049739938,8.517887564,1.143249114,13.62026696,8.100445525,1.600512164
0.917262888,132.1178491,0.599880024,1.493651979,1.552553951,1.81356547,1.439884809,7.468259895,7.743534149,3.3898,33.10162198,210.92,0.249066002,3.713055102,5.043118665,8.488964346,1.144426642,13.47527287,7.975117633,1.593879503
0.916506278,132.310135,0.598408234,1.498351813,1.541307028,1.807337791,1.435956347,7.468259895,7.762167197,3.398,33.15649867,210.93,0.24975025,3.701099226,5.050505051,8.488964346,1.144950767,13.3457894,8.150623523,1.587049675
